feature,feature_idx,motif,rpb,pval,rpb_abs,p_empirical,p_fdr,significant_fdr
z37,37,in_cascade,-0.06959434139195156,1.0554064929009014e-05,0.06959434139195156,0.0,0.0,True
z43,43,in_cascade,-0.011183005594941403,0.4795189836899045,0.011183005594941403,0.525,0.5305263157894737,False
z47,47,in_cascade,-0.058535165795967126,0.0002121358516967322,0.058535165795967126,0.0,0.0,True
z58,58,in_cascade,0.058348185939056774,0.00022227382070893022,0.058348185939056774,0.001,0.0012972972972972972,True
z63,63,in_cascade,-0.021079966778101374,0.1825496658875326,0.021079966778101374,0.177,0.18270967741935482,False
z64,64,in_cascade,-0.05790438729708047,0.00024818570260133355,0.05790438729708047,0.001,0.0012972972972972972,True
z65,65,in_cascade,0.09908339390692364,3.3839042303993814e-10,0.09908339390692364,0.0,0.0,True
z71,71,in_cascade,-0.042505620626604165,0.007173807856773077,0.042505620626604165,0.005,0.006075949367088608,True
z73,73,in_cascade,-0.05841221583790499,0.0002187520302966666,0.05841221583790499,0.001,0.0012972972972972972,True
z77,77,in_cascade,-0.06891977541134306,1.2847004012164659e-05,0.06891977541134306,0.0,0.0,True
z101,101,in_cascade,-0.025109083721422384,0.11233341033134937,0.025109083721422384,0.093,0.10203428571428572,False
z107,107,in_cascade,-0.029022923675435783,0.06644884709341581,0.029022923675435783,0.057,0.0643764705882353,False
z112,112,in_cascade,0.08018285511714845,3.8182782019124914e-07,0.08018285511714845,0.0,0.0,True
z117,117,in_cascade,-0.062167948412415616,8.339670256016835e-05,0.062167948412415616,0.0,0.0,True
z118,118,in_cascade,-0.04241494259533091,0.007298126530053421,0.04241494259533091,0.009,0.010732919254658385,True
z121,121,in_cascade,-0.020828052632945595,0.18783431568674674,0.020828052632945595,0.182,0.1868663101604278,False
z122,122,in_cascade,-0.053936816925323934,0.0006432699519810799,0.053936816925323934,0.002,0.0025263157894736842,True
z125,125,in_cascade,-0.07058275352912838,7.88719159172771e-06,0.07058275352912838,0.0,0.0,True
z126,126,in_cascade,0.04617302413663063,0.0034904027170502405,0.04617302413663063,0.005,0.006075949367088608,True
z129,129,in_cascade,-0.07082577300551024,7.337823219939318e-06,0.07082577300551024,0.0,0.0,True
z131,131,in_cascade,-0.04284237403936121,0.006728584638130629,0.04284237403936121,0.006,0.0072452830188679245,True
z132,132,in_cascade,-0.053452869870629256,0.000719555427428251,0.053452869870629256,0.002,0.0025263157894736842,True
z134,134,in_cascade,0.0713526568432354,6.269649096626933e-06,0.0713526568432354,0.0,0.0,True
z136,136,in_cascade,-0.049667457270432216,0.001676815579933299,0.049667457270432216,0.002,0.0025263157894736842,True
z154,154,in_cascade,-0.07931840863568673,5.090136824470465e-07,0.07931840863568673,0.0,0.0,True
z169,169,in_cascade,-0.060834129164808966,0.0001181894886007841,0.060834129164808966,0.0,0.0,True
z173,173,in_cascade,-0.03223096120254946,0.041514202288843054,0.03223096120254946,0.034,0.04004907975460123,True
z178,178,in_cascade,-0.037887288345748976,0.016560900264427143,0.037887288345748976,0.018,0.021333333333333333,True
z182,182,in_cascade,-0.04316140995131994,0.006329854084068625,0.04316140995131994,0.007,0.0084,True
z187,187,in_cascade,-0.09358317877815878,3.031435120506586e-09,0.09358317877815878,0.0,0.0,True
z188,188,in_cascade,0.09993274776615954,2.385954470141053e-10,0.09993274776615954,0.0,0.0,True
z192,192,in_cascade,-0.015014061918995413,0.3424531192167767,0.015014061918995413,0.348,0.3535238095238095,False
z195,195,in_cascade,0.07067188649494886,7.681283470898874e-06,0.07067188649494886,0.0,0.0,True
z201,201,in_cascade,-0.04498290034646489,0.004433903527438493,0.04498290034646489,0.004,0.004923076923076923,True
z204,204,in_cascade,-0.06959558076520417,1.0550236172463241e-05,0.06959558076520417,0.0,0.0,True
z207,207,in_cascade,-0.0520351515742372,0.0009940911601399778,0.0520351515742372,0.001,0.0012972972972972972,True
z212,212,in_cascade,-0.0921306507686821,5.3005462891244526e-09,0.0921306507686821,0.0,0.0,True
z217,217,in_cascade,-0.05559219481533169,0.00043550024505802386,0.05559219481533169,0.001,0.0012972972972972972,True
z224,224,in_cascade,0.10248628003729889,8.199821231571385e-11,0.10248628003729889,0.0,0.0,True
z225,225,in_cascade,-0.04945622282889724,0.0017550788515048542,0.04945622282889724,0.003,0.0037402597402597403,True
z235,235,in_cascade,-0.058565548993642386,0.00021053006650991303,0.058565548993642386,0.0,0.0,True
z237,237,in_cascade,-0.05331989277473724,0.0007419425719284051,0.05331989277473724,0.004,0.004923076923076923,True
z239,239,in_cascade,-0.018915756959712298,0.23166900648353256,0.018915756959712298,0.24,0.2451063829787234,False
z244,244,in_cascade,-0.08395563001740758,1.051735041530559e-07,0.08395563001740758,0.0,0.0,True
z252,252,in_cascade,-0.023244624864816186,0.14160014590144804,0.023244624864816186,0.129,0.13914606741573032,False
