variant,motif,feature_idx,graph_id,graph_idx,num_edges,num_motif_edges,motif_ratio,gnn_auroc,sae_auroc,gnn_auprc,sae_auprc
switch,in_feedforward_loop,0,4006,6,24,23,0.9583333333333334,0.2608695652173913,0.5,0.9560715854194114,0.9583333333333334
switch,in_feedforward_loop,0,4007,7,22,16,0.7272727272727273,0.5,0.7916666666666667,0.7272727272727273,0.9119994588744589
switch,in_feedforward_loop,0,4008,8,21,15,0.7142857142857143,0.3388888888888889,0.5,0.7301587301587301,0.7142857142857143
switch,in_feedforward_loop,0,4009,9,24,19,0.7916666666666666,0.8894736842105262,0.5,0.9671052631578947,0.7916666666666666
switch,in_feedforward_loop,0,4010,10,26,20,0.7692307692307693,0.3833333333333333,0.5,0.7818802544634589,0.7692307692307693
switch,in_feedforward_loop,0,4011,11,28,27,0.9642857142857143,0.8518518518518519,0.5185185185185185,0.9945502645502644,0.9809562713974479
switch,in_feedforward_loop,0,4012,12,22,12,0.5454545454545454,0.7,0.5,0.7182524590419327,0.5454545454545454
switch,in_feedforward_loop,0,4013,13,30,29,0.9666666666666667,0.3793103448275862,0.6896551724137931,0.9692887231923324,0.9793103448275859
switch,in_feedforward_loop,0,4014,14,29,26,0.896551724137931,0.7820512820512822,0.7948717948717948,0.9629812115660065,0.9742958191234051
switch,in_feedforward_loop,0,4015,15,18,11,0.6111111111111112,0.3961038961038961,0.5,0.609499086771814,0.6111111111111112
switch,in_feedforward_loop,0,4016,16,25,20,0.8,0.62,0.5,0.8903558401952365,0.8
switch,in_feedforward_loop,0,4017,17,27,21,0.7777777777777778,0.380952380952381,0.5,0.7326343570771776,0.7777777777777778
switch,in_feedforward_loop,0,4019,18,22,17,0.7727272727272727,0.6,0.5,0.7821946027828381,0.7727272727272727
switch,in_feedforward_loop,0,4021,19,33,32,0.9696969696969697,0.5,0.3125,0.9797110717781627,0.9665962224730561
switch,in_single_input_module,0,4003,0,26,3,0.11538461538461539,0.38405797101449274,0.5,0.12311762311762312,0.11538461538461539
switch,in_single_input_module,0,4004,1,19,4,0.21052631578947367,0.6,0.5,0.35526315789473684,0.21052631578947367
switch,in_single_input_module,0,4005,2,28,4,0.14285714285714285,0.3645833333333333,0.5,0.13392857142857142,0.14285714285714285
switch,in_single_input_module,0,4006,3,24,5,0.20833333333333334,0.531578947368421,0.5,0.30500000000000005,0.20833333333333334
switch,in_single_input_module,0,4007,4,22,5,0.22727272727272727,0.5,0.31176470588235294,0.22727272727272727,0.21493506493506492
switch,in_single_input_module,0,4008,5,21,4,0.19047619047619047,0.3529411764705882,0.5,0.19047619047619047,0.19047619047619047
switch,in_single_input_module,0,4009,6,24,6,0.25,0.7222222222222222,0.5,0.3978174603174604,0.25
switch,in_single_input_module,0,4011,7,28,4,0.14285714285714285,0.5,0.4166666666666667,0.14285714285714285,0.14466089466089466
switch,in_single_input_module,0,4013,8,30,5,0.16666666666666666,0.356,0.44799999999999995,0.14502164502164502,0.15636363636363637
switch,in_single_input_module,0,4014,9,29,3,0.10344827586206896,0.6025641025641026,0.6153846153846154,0.15604575163398693,0.17857142857142858
switch,in_single_input_module,0,4015,10,18,3,0.16666666666666666,0.5,0.5,0.16666666666666666,0.16666666666666666
switch,in_single_input_module,0,4017,11,27,4,0.14814814814814814,0.375,0.5,0.14404461279461278,0.14814814814814814
switch,in_single_input_module,0,4018,12,22,4,0.18181818181818182,0.5,0.5,0.18181818181818182,0.18181818181818182
switch,in_single_input_module,0,4020,13,31,3,0.0967741935483871,0.36904761904761907,0.5,0.10765488991295444,0.0967741935483871
switch,in_single_input_module,0,4021,14,33,3,0.09090909090909091,0.4222222222222222,0.5111111111111111,0.1289272030651341,0.11481481481481481
switch,in_single_input_module,0,4022,15,24,4,0.16666666666666666,0.24375000000000002,0.5,0.1340909090909091,0.16666666666666666
switch,in_single_input_module,0,4023,16,30,3,0.1,0.2222222222222222,0.3888888888888889,0.1,0.1
switch,in_single_input_module,0,4025,17,27,5,0.18518518518518517,0.36363636363636365,0.31818181818181823,0.1998702638950317,0.17314814814814813
switch,in_single_input_module,0,4026,18,27,3,0.1111111111111111,0.5138888888888888,0.3958333333333333,0.2542857142857143,0.1111111111111111
switch,in_single_input_module,0,4028,19,24,4,0.16666666666666666,0.5125,0.5,0.3833333333333333,0.16666666666666666
switch,in_cascade,0,4000,0,25,11,0.44,0.25974025974025977,0.5,0.3418151022914603,0.44
switch,in_cascade,0,4001,1,29,8,0.27586206896551724,0.3035714285714286,0.5,0.25655427406177034,0.27586206896551724
switch,in_cascade,0,4002,2,31,4,0.12903225806451613,0.638888888888889,0.5555555555555556,0.2019905533063428,0.19365468409586056
switch,in_cascade,0,4003,3,26,7,0.2692307692307692,0.2593984962406015,0.5,0.2080039008610437,0.2692307692307692
switch,in_cascade,0,4004,4,19,7,0.3684210526315789,0.44047619047619047,0.5,0.34062835660580015,0.3684210526315789
switch,in_cascade,0,4005,5,28,9,0.32142857142857145,0.368421052631579,0.5,0.30745588833824133,0.32142857142857145
switch,in_cascade,0,4006,6,24,13,0.5416666666666666,0.43706293706293714,0.5,0.5608197358197358,0.5416666666666666
switch,in_cascade,0,4007,7,22,10,0.45454545454545453,0.5,0.3375,0.45454545454545453,0.4199467199467199
switch,in_cascade,0,4008,8,21,14,0.6666666666666666,0.6020408163265306,0.5,0.6962148962148963,0.6666666666666666
switch,in_cascade,0,4009,9,24,15,0.625,0.43703703703703706,0.5,0.6302645502645502,0.625
switch,in_cascade,0,4011,10,28,6,0.21428571428571427,0.34848484848484845,0.38636363636363635,0.324223602484472,0.19464285714285715
switch,in_cascade,0,4012,11,22,11,0.5,0.23966942148760328,0.5,0.4146483633325739,0.5
switch,in_cascade,0,4013,12,30,11,0.36666666666666664,0.4832535885167464,0.5454545454545455,0.5083333333333333,0.3984651711924439
switch,in_cascade,0,4014,13,29,12,0.41379310344827586,0.5098039215686274,0.4558823529411765,0.45856176006431765,0.424212589901311
switch,in_cascade,0,4015,14,18,3,0.16666666666666666,0.39999999999999997,0.5,0.4444444444444444,0.16666666666666666
switch,in_cascade,0,4016,15,25,9,0.36,0.5,0.5,0.36401961131287647,0.36
switch,in_cascade,0,4017,16,27,11,0.4074074074074074,0.4914772727272727,0.5,0.47230138667625665,0.4074074074074074
switch,in_cascade,0,4019,17,22,15,0.6818181818181818,0.4285714285714286,0.5,0.6862626262626262,0.6818181818181818
switch,in_cascade,0,4020,18,31,6,0.1935483870967742,0.5933333333333333,0.5,0.4109578777747658,0.1935483870967742
switch,in_cascade,0,4021,19,33,7,0.21212121212121213,0.5604395604395604,0.3571428571428571,0.3481683447121235,0.18686059518356843
gated,in_feedback_loop,367,4000,0,25,8,0.32,0.7205882352941176,0.5,0.5367327117327116,0.32
gated,in_feedback_loop,367,4001,1,29,10,0.3448275862068966,0.8,0.6578947368421053,0.7208349493643611,0.524264940040802
gated,in_feedback_loop,367,4002,2,31,18,0.5806451612903226,0.5726495726495726,0.5,0.6547354135044829,0.5806451612903226
gated,in_feedback_loop,367,4003,3,26,10,0.38461538461538464,0.725,0.5,0.5746428571428571,0.38461538461538464
gated,in_feedback_loop,367,4004,4,19,2,0.10526315789473684,0.9411764705882353,0.6029411764705882,0.75,0.17763157894736842
gated,in_feedback_loop,367,4005,5,28,10,0.35714285714285715,0.5277777777777778,0.6888888888888889,0.40167433824756477,0.5885090399796282
gated,in_feedback_loop,367,4006,6,24,4,0.16666666666666666,0.7875,0.5,0.35158730158730156,0.16666666666666666
gated,in_feedback_loop,367,4007,7,22,6,0.2727272727272727,0.53125,0.5,0.30305245436824385,0.2727272727272727
